name;supplier;category;subcategory;reference;oem_reference;part_brand;price;quantity;delivery_time;vehicle_make;vehicle_model;year_start;year_end;engine;engine_number;viscosity;engine_type;volume_liters;specification;interval_km;description;synonyms;image_url;active
Air Filter Hyundai 28113-L1000;Via Peças;part;Filtration;28113-L1000;;;9800.0;1;Today;Hyundai;Sonata;2019;2023.0;2.5L;;;;;;;Panel;filtro de ar, air filter;;yes
Air Filter Hyundai 28130-5H000;Via Peças;part;Filtration;28130-5H000;;;9800.0;1;Today;Hyundai;Mighty;2004;2012.0;D4DB;;;;;;;Truck;filtro de ar, air filter;;yes
Air Resonator Hyundai/Kia 28190-2S100;Via Peças;part;Mechanical;28190-2S100;;;50000.0;1;Today;Hyundai/Kia;Tucson;2010;2015.0;2.0/2.4;;;;;;;Intake;ressonador de ar, air resonator;;yes
Intake Manifold Hyundai/Kia 28310-2G030;Via Peças;part;Engine;28310-2G030;;;135000.0;1;Today;Hyundai/Kia;Santa Fe;2010;2015.0;2.4L G4KE;;;;;;;G4KE Engine;coletor admissão, intake manifold;;yes
Fuel Pump Module Kia 31110-07150;Via Peças;part;Engine;31110-07150;;;75000.0;1;Today;Kia;Picanto;2004;2011.0;1.0/1.1;;;;;;;Complete Module;módulo bomba combustível, fuel pump assy;;yes
Fuel Pump Module Hyundai 31110-0X000;Via Peças;part;Engine;31110-0X000;;;74500.0;1;Today;Hyundai;i10;2008;2013.0;1.1/1.2;;;;;;;Complete Module;módulo bomba combustível, fuel pump assy;;yes
Fuel Pump Module Kia 31110-1W000;Via Peças;part;Engine;31110-1W000;;;75000.0;1;Today;Kia;Rio;2011;2017.0;1.2/1.4;;;;;;;Complete Module;módulo bomba combustível, fuel pump assy;;yes
Fuel Pump Module Hyundai 31110-F2100;Via Peças;part;Engine;31110-F2100;;;85000.0;1;Today;Hyundai;Elantra;2016;2020.0;2.0L;;;;;;;Complete Module;módulo bomba combustível, fuel pump assy;;yes
Fuel Pump Motor Hyundai/Kia 31111-12000;Via Peças;part;Engine;31111-12000;;;32000.0;1;Today;Hyundai/Kia;Various;;;;;;;;;;Electric Refill;motor bomba combustível, fuel pump motor;;yes
Fuel Pump Motor Hyundai/Kia 31111-1R000;Via Peças;part;Engine;31111-1R000;;;32000.0;1;Today;Hyundai/Kia;Accent/Rio;2011;2017.0;1.4/1.6;;;;;;;Electric Refill;motor bomba combustível, fuel pump motor;;yes
Fuel Pump Motor Hyundai 31111-25000;Via Peças;part;Engine;31111-25000;;;35000.0;1;Today;Hyundai;Accent/Getz;2000;2006.0;Various;;;;;;;Electric Refill;motor bomba combustível, fuel pump motor;;yes
In-Tank Fuel Filter Kia 31112-07000;Via Peças;part;Filtration;31112-07000;;;13500.0;1;Today;Kia;Picanto;2004;2011.0;1.0/1.1;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
In-Tank Fuel Filter Hyundai/Kia 31112-1R000;Via Peças;part;Filtration;31112-1R000;;;16500.0;1;Today;Hyundai/Kia;Accent/Rio;2011;2017.0;1.4/1.6;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
In-Tank Fuel Filter Hyundai 31112-2B000;Via Peças;part;Filtration;31112-2B000;;;15800.0;1;Today;Hyundai;Santa Fe;2006;2009.0;2.7/3.3;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
In-Tank Fuel Filter Kia 31112-2P000;Via Peças;part;Filtration;31112-2P000;;;15500.0;1;Today;Kia;Sorento;2009;2012.0;2.4/3.5;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
In-Tank Fuel Filter Hyundai 31112-3J500;Via Peças;part;Filtration;31112-3J500;;;15800.0;1;Today;Hyundai;Veracruz;2007;2012.0;3.8;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
In-Tank Fuel Filter Hyundai 31112-3Q500;Via Peças;part;Filtration;31112-3Q500;;;15500.0;1;Today;Hyundai;Sonata/Optima;2010;2014.0;2.0/2.4;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
In-Tank Fuel Filter Hyundai 31112-3R000;Via Peças;part;Filtration;31112-3R000;;;15500.0;1;Today;Hyundai;Azera;2011;2016.0;3.0/3.3;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
In-Tank Fuel Filter Hyundai 31112-3X000;Via Peças;part;Filtration;31112-3X000;;;13500.0;1;Today;Hyundai;Elantra;2011;2015.0;1.6/1.8;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
In-Tank Fuel Filter Hyundai 31112-C9100;Via Peças;part;Filtration;31112-C9100;;;15500.0;1;Today;Hyundai;Creta/ix25;2015;2020.0;1.6/2.0;;;;;;;Inside the Tank;filtro combustível tanque, fuel filter (internal);;yes
Clutch Pressure Plate Toyota 31210-36350;Via Peças;part;Transmission;31210-36350;;;65800.0;1;Today;Toyota;Coaster/Dyna;1995;2004.0;4.1L;;;;;;;Commercial;prensa de embraiagem, clutch cover;;yes
Clutch Disc Toyota 31250-60432;Via Peças;part;Transmission;31250-60432;;;52500.0;1;Today;Toyota;Land Cruiser;1996;2008.0;3.0 TD;;;;;;;Prado 90/120;disco de embraiagem, clutch disc;;yes
Oil Filter Perkins/Industrial 3886349-2125;Via Peças;lubricant;Filtration;3886349-2125;;;;1;Today;Perkins/Industrial;Geradores;;;;;15W40;Universal;1.0;;;Series 1100;filtro de óleo, oil filter;;yes
Coolant Temperature Sensor Hyundai/Kia 39220-38030;Via Peças;part;Mechanical;39220-38030;;;35500.0;1;Today;Hyundai/Kia;Various;2000;2018.0;;;;;;;;Sensor ECT;sensor temp. água, coolant temp sensor;;yes
